,ID,Date,Block,Primary Type,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Community Areas,Wards
7401,11717913,06/10/2019 5:15:00 PM,081XX S CLAREMONT AVE,DECEPTIVE PRACTICE,RESIDENCE,FALSE,FALSE,835,8,18,70,,,2019,06/17/2019 4:16:37 PM,,,,
7402,11718201,06/10/2019 5:14:00 PM,038XX W 69TH ST,BATTERY,RESIDENCE,FALSE,TRUE,833,8,13,65,,,2019,06/17/2019 4:16:37 PM,,,,
7403,11718216,06/10/2019 5:11:00 PM,011XX S CLARK ST,THEFT,DEPARTMENT STORE,TRUE,FALSE,123,1,4,32,,,2019,06/17/2019 4:16:37 PM,,,,
7405,11718817,06/10/2019 5:00:00 PM,030XX S KOSTNER AVE,THEFT,STREET,FALSE,FALSE,1031,10,22,30,,,2019,06/17/2019 4:16:37 PM,,,,
7406,11718636,06/10/2019 5:00:00 PM,060XX S ROCKWELL ST,THEFT,"SCHOOL, PUBLIC, GROUNDS",FALSE,FALSE,825,8,16,66,,,2019,06/17/2019 4:16:37 PM,,,,
7408,11723027,06/10/2019 5:00:00 PM,035XX N TROY ST,THEFT,APARTMENT,FALSE,FALSE,1733,17,33,21,,,2019,06/17/2019 4:16:37 PM,,,,
7410,11719143,06/10/2019 5:00:00 PM,049XX W POTOMAC AVE,THEFT,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,2533,25,37,25,,,2019,06/17/2019 4:16:37 PM,,,,
7413,11721644,06/10/2019 5:00:00 PM,072XX S INDIANA AVE,THEFT,RESIDENCE,FALSE,FALSE,323,3,6,69,,,2019,06/17/2019 4:16:37 PM,,,,
7414,11719155,06/10/2019 5:00:00 PM,090XX S BLACKSTONE AVE,THEFT,RESIDENCE,FALSE,FALSE,413,4,8,48,,,2019,06/17/2019 4:16:37 PM,,,,
7416,11721344,06/10/2019 5:00:00 PM,033XX N MILWAUKEE AVE,THEFT,SMALL RETAIL STORE,FALSE,FALSE,1731,17,30,16,,,2019,06/17/2019 4:16:37 PM,,,,
7417,11717979,06/10/2019 4:59:00 PM,013XX N PULASKI RD,BATTERY,GAS STATION,FALSE,FALSE,2535,25,27,23,,,2019,06/17/2019 4:16:37 PM,,,,
7418,11719061,06/10/2019 4:55:00 PM,029XX W GLENLAKE AVE,BATTERY,APARTMENT,FALSE,TRUE,2413,24,50,2,,,2019,06/17/2019 4:16:37 PM,,,,
7419,11718013,06/10/2019 4:54:00 PM,021XX N LATROBE AVE,BATTERY,SIDEWALK,FALSE,FALSE,2515,25,36,19,,,2019,06/17/2019 4:16:37 PM,,,,
7420,11718053,06/10/2019 4:50:00 PM,043XX S DEARBORN ST,BATTERY,STREET,FALSE,FALSE,215,2,3,38,,,2019,06/17/2019 4:16:37 PM,,,,
7421,11718081,06/10/2019 4:50:00 PM,080XX S EXCHANGE AVE,BATTERY,SIDEWALK,TRUE,TRUE,422,4,7,46,,,2019,06/17/2019 4:16:37 PM,,,,
7423,11718073,06/10/2019 4:48:00 PM,075XX S RACINE AVE,BATTERY,ALLEY,FALSE,FALSE,612,6,17,71,,,2019,06/17/2019 4:16:37 PM,,,,
7425,11717959,06/10/2019 4:45:00 PM,033XX W CRYSTAL ST,BATTERY,APARTMENT,TRUE,TRUE,1422,14,26,23,,,2019,06/17/2019 4:16:37 PM,,,,
7426,11717880,06/10/2019 4:42:00 PM,0000X E DELAWARE PL,THEFT,SMALL RETAIL STORE,FALSE,FALSE,1833,18,42,8,,,2019,06/17/2019 4:16:37 PM,,,,
7429,11717923,06/10/2019 4:36:00 PM,078XX S UNION AVE,BURGLARY,RESIDENCE,FALSE,FALSE,621,6,17,71,,,2019,06/17/2019 4:16:37 PM,,,,
7436,11717918,06/10/2019 4:25:00 PM,008XX E 79TH ST,NARCOTICS,SIDEWALK,TRUE,FALSE,624,6,8,69,,,2019,06/17/2019 4:16:37 PM,,,,
7437,11717956,06/10/2019 4:23:00 PM,0000X E LAKE ST,BATTERY,SIDEWALK,FALSE,FALSE,111,1,42,32,,,2019,06/17/2019 4:16:37 PM,,,,
7438,11723916,06/10/2019 4:23:00 PM,080XX S WOLCOTT AVE,BATTERY,RESIDENCE,FALSE,TRUE,611,6,17,71,,,2019,06/17/2019 4:16:37 PM,,,,
7440,11718235,06/10/2019 4:20:00 PM,0000X W RANDOLPH ST,CRIMINAL TRESPASS,RESTAURANT,TRUE,FALSE,111,1,42,32,,,2019,06/24/2019 4:06:39 PM,,,,
7445,11718217,06/10/2019 4:07:00 PM,027XX S KEDZIE AVE,BURGLARY,APARTMENT,FALSE,FALSE,1033,10,12,30,,,2019,06/17/2019 4:16:37 PM,,,,
7447,11718016,06/10/2019 4:02:00 PM,003XX N FRANCISCO AVE,CRIMINAL TRESPASS,RESIDENCE,TRUE,FALSE,1222,12,27,27,,,2019,06/17/2019 4:16:37 PM,,,,
7448,11719070,06/10/2019 4:00:00 PM,001XX N WELLS ST,THEFT,CTA PLATFORM,FALSE,FALSE,122,1,42,32,,,2019,06/17/2019 4:16:37 PM,,,,
7451,11718700,06/10/2019 4:00:00 PM,006XX E GRAND AVE,DECEPTIVE PRACTICE,TAXICAB,FALSE,FALSE,1834,18,42,8,,,2019,06/17/2019 4:16:37 PM,,,,
7452,11717951,06/10/2019 4:00:00 PM,006XX N DRAKE AVE,BATTERY,RESIDENCE PORCH/HALLWAY,FALSE,TRUE,1121,11,27,23,,,2019,06/17/2019 4:16:37 PM,,,,
7454,11719068,06/10/2019 4:00:00 PM,001XX N WELLS ST,DECEPTIVE PRACTICE,CTA PLATFORM,FALSE,FALSE,122,1,42,32,,,2019,06/22/2019 4:01:13 PM,,,,
7455,11718644,06/10/2019 4:00:00 PM,002XX W 47TH ST,THEFT,CTA TRAIN,FALSE,FALSE,925,9,3,37,,,2019,06/17/2019 4:16:37 PM,,,,
7456,11718152,06/10/2019 4:00:00 PM,075XX N CLARK ST,THEFT,ATHLETIC CLUB,FALSE,FALSE,2422,24,49,1,,,2019,06/17/2019 4:16:37 PM,,,,
7457,11719077,06/10/2019 4:00:00 PM,045XX S SPRINGFIELD AVE,THEFT,STREET,FALSE,FALSE,821,8,14,57,,,2019,06/17/2019 4:16:37 PM,,,,
7458,11719305,06/10/2019 4:00:00 PM,015XX W WALTON ST,THEFT,APARTMENT,FALSE,FALSE,1213,12,1,24,,,2019,06/17/2019 4:16:37 PM,,,,
7459,11718757,06/10/2019 4:00:00 PM,023XX W ARGYLE ST,THEFT,STREET,FALSE,FALSE,2031,20,40,4,,,2019,06/17/2019 4:16:37 PM,,,,
7460,11718290,06/10/2019 4:00:00 PM,007XX W JUNIOR TER,THEFT,OTHER,FALSE,FALSE,1915,19,46,3,,,2019,06/17/2019 4:16:37 PM,,,,
7461,11718067,06/10/2019 4:00:00 PM,075XX N CLARK ST,THEFT,ATHLETIC CLUB,FALSE,FALSE,2422,24,49,1,,,2019,06/17/2019 4:16:37 PM,,,,
7462,11718107,06/10/2019 3:55:00 PM,005XX S LOCKWOOD AVE,BATTERY,SIDEWALK,FALSE,FALSE,1522,15,29,25,,,2019,06/17/2019 4:16:37 PM,,,,
7463,11722477,06/10/2019 3:51:00 PM,013XX N ASHLAND AVE,THEFT,DEPARTMENT STORE,FALSE,FALSE,1433,14,1,24,,,2019,06/26/2019 4:10:52 PM,,,,
7464,11717876,06/10/2019 3:50:00 PM,013XX W 51ST ST,NARCOTICS,SIDEWALK,TRUE,FALSE,933,9,20,61,,,2019,06/17/2019 4:16:37 PM,,,,
7465,11719026,06/10/2019 3:45:00 PM,012XX N OAKLEY BLVD,THEFT,STREET,FALSE,FALSE,1424,14,1,24,,,2019,06/17/2019 4:16:37 PM,,,,
7466,11718603,06/10/2019 3:45:00 PM,055XX W NORTH AVE,THEFT,SIDEWALK,FALSE,FALSE,2532,25,37,25,,,2019,06/17/2019 4:16:37 PM,,,,
7467,11717857,06/10/2019 3:40:00 PM,116XX S HALE AVE,THEFT,ALLEY,FALSE,TRUE,2212,22,34,75,,,2019,06/17/2019 4:16:37 PM,,,,
7470,11717840,06/10/2019 3:33:00 PM,080XX S MORGAN ST,THEFT,VEHICLE - DELIVERY TRUCK,FALSE,FALSE,621,6,21,71,,,2019,06/17/2019 4:16:37 PM,,,,
7471,11728094,06/10/2019 3:33:00 PM,038XX N CLARK ST,THEFT,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,1923,19,44,6,,,2019,06/20/2019 4:23:46 PM,,,,
7472,11719281,06/10/2019 3:30:00 PM,028XX W Chicago Ave,THEFT,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,1211,12,26,24,,,2019,06/17/2019 4:16:37 PM,,,,
7473,11718145,06/10/2019 3:30:00 PM,039XX N OAK PARK AVE,BATTERY,APARTMENT,FALSE,FALSE,1632,16,38,17,,,2019,06/17/2019 4:16:37 PM,,,,
7474,11719697,06/10/2019 3:30:00 PM,079XX S EVANS AVE,BURGLARY,APARTMENT,FALSE,FALSE,624,6,6,44,,,2019,06/17/2019 4:16:37 PM,,,,
7475,11719300,06/10/2019 3:30:00 PM,002XX E Illinois St,THEFT,SIDEWALK,FALSE,FALSE,1834,18,42,8,,,2019,06/17/2019 4:16:37 PM,,,,
7477,11717848,06/10/2019 3:30:00 PM,069XX S HARVARD AVE,BATTERY,SIDEWALK,TRUE,TRUE,731,7,6,69,,,2019,06/17/2019 4:16:37 PM,,,,
7479,11717999,06/10/2019 3:27:00 PM,061XX S HOMAN AVE,THEFT,RESIDENCE,FALSE,FALSE,823,8,23,66,,,2019,06/17/2019 4:16:37 PM,,,,
7480,11718594,06/10/2019 3:20:00 PM,056XX S RACINE AVE,BATTERY,SIDEWALK,FALSE,TRUE,712,7,16,68,,,2019,06/17/2019 4:16:37 PM,,,,
7482,11717815,06/10/2019 3:17:00 PM,071XX S GREEN ST,NARCOTICS,ABANDONED BUILDING,TRUE,FALSE,733,7,6,68,,,2019,06/17/2019 4:16:37 PM,,,,
7484,11717949,06/10/2019 3:15:00 PM,032XX W MADISON ST,THEFT,OTHER,FALSE,FALSE,1124,11,28,27,,,2019,06/17/2019 4:16:37 PM,,,,
7485,11718557,06/10/2019 3:05:00 PM,024XX W 61ST ST,BATTERY,SIDEWALK,FALSE,FALSE,825,8,16,66,,,2019,06/17/2019 4:16:37 PM,,,,
7487,11717824,06/10/2019 3:00:00 PM,004XX N MICHIGAN AVE,THEFT,STREET,FALSE,FALSE,1834,18,42,8,,,2019,06/17/2019 4:16:37 PM,,,,
7489,11718159,06/10/2019 3:00:00 PM,002XX W CERMAK RD,BATTERY,VEHICLE NON-COMMERCIAL,FALSE,FALSE,914,9,25,34,,,2019,06/17/2019 4:16:37 PM,,,,
7491,11724920,06/10/2019 3:00:00 PM,064XX N CAMPBELL AVE,DECEPTIVE PRACTICE,APARTMENT,FALSE,FALSE,2412,24,50,2,,,2019,06/17/2019 4:16:37 PM,,,,
7492,11718881,06/10/2019 3:00:00 PM,022XX N HAMLIN AVE,WEAPONS VIOLATION,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,2525,25,35,22,,,2019,06/17/2019 4:16:37 PM,,,,
7493,11721104,06/10/2019 3:00:00 PM,006XX W HARRISON ST,BATTERY,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,124,1,25,28,,,2019,06/17/2019 4:16:37 PM,,,,
7495,11717926,06/10/2019 3:00:00 PM,048XX S LAPORTE AVE,THEFT,RESIDENCE,FALSE,TRUE,814,8,22,56,,,2019,06/17/2019 4:16:37 PM,,,,
7496,11719153,06/10/2019 3:00:00 PM,043XX W VAN BUREN ST,BATTERY,APARTMENT,FALSE,TRUE,1131,11,28,26,,,2019,06/17/2019 4:16:37 PM,,,,
7497,11718078,06/10/2019 3:00:00 PM,045XX W LAKE ST,THEFT,STREET,FALSE,FALSE,1113,11,28,26,,,2019,06/17/2019 4:16:37 PM,,,,
7500,11717871,06/10/2019 2:59:00 PM,0000X E ROOSEVELT RD,THEFT,SMALL RETAIL STORE,TRUE,FALSE,123,1,4,32,,,2019,06/17/2019 4:16:37 PM,,,,
7501,11718212,06/10/2019 2:55:00 PM,030XX S KEDVALE AVE,BURGLARY,APARTMENT,FALSE,FALSE,1031,10,22,30,,,2019,06/17/2019 4:16:37 PM,,,,
7503,11717778,06/10/2019 2:45:00 PM,051XX S WENTWORTH AVE,NARCOTICS,POLICE FACILITY/VEH PARKING LOT,TRUE,FALSE,225,2,3,37,,,2019,06/17/2019 4:16:37 PM,,,,
7504,11720957,06/10/2019 2:45:00 PM,0000X W TERMINAL ST,DECEPTIVE PRACTICE,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,FALSE,FALSE,1653,16,41,76,,,2019,06/17/2019 4:16:37 PM,,,,
7505,11717834,06/10/2019 2:42:00 PM,010XX W 79TH ST,BATTERY,SIDEWALK,FALSE,TRUE,612,6,17,71,,,2019,06/17/2019 4:16:37 PM,,,,
7506,11717899,06/10/2019 2:40:00 PM,017XX N KOSTNER AVE,THEFT,DEPARTMENT STORE,FALSE,FALSE,2533,25,36,23,,,2019,06/17/2019 4:16:37 PM,,,,
7509,11717961,06/10/2019 2:30:00 PM,002XX N LA SALLE ST,THEFT,RESTAURANT,FALSE,FALSE,122,1,42,32,,,2019,06/17/2019 4:16:37 PM,,,,
7510,11718600,06/10/2019 2:30:00 PM,004XX E 113TH ST,BATTERY,APARTMENT,FALSE,TRUE,531,5,9,49,,,2019,06/17/2019 4:16:37 PM,,,,
7511,11717877,06/10/2019 2:30:00 PM,067XX S CLAREMONT AVE,BATTERY,APARTMENT,FALSE,TRUE,832,8,17,66,,,2019,06/17/2019 4:16:37 PM,,,,
7512,11729113,06/10/2019 2:30:00 PM,073XX S WESTERN AVE,CRIMINAL TRESPASS,OTHER,FALSE,FALSE,835,8,18,66,,,2019,06/21/2019 4:07:18 PM,,,,
7517,11718268,06/10/2019 2:30:00 PM,053XX W MADISON ST,BURGLARY,APARTMENT,FALSE,FALSE,1522,15,29,25,,,2019,06/17/2019 4:16:37 PM,,,,
7518,11718744,06/10/2019 2:30:00 PM,101XX S LAFAYETTE AVE,BATTERY,DRIVEWAY - RESIDENTIAL,FALSE,FALSE,511,5,9,49,,,2019,06/17/2019 4:16:37 PM,,,,
7519,11717827,06/10/2019 2:26:00 PM,008XX W NORTH AVE,DECEPTIVE PRACTICE,BANK,FALSE,FALSE,1822,18,2,8,,,2019,06/17/2019 4:16:37 PM,,,,
7520,11717835,06/10/2019 2:23:00 PM,020XX N SAWYER AVE,BATTERY,APARTMENT,TRUE,FALSE,1413,14,26,22,,,2019,06/17/2019 4:16:37 PM,,,,
7522,11718130,06/10/2019 2:20:00 PM,046XX S LAKE PARK AVE,DECEPTIVE PRACTICE,,FALSE,FALSE,222,2,4,39,,,2019,06/17/2019 4:16:37 PM,,,,
7523,11717831,06/10/2019 2:14:00 PM,060XX S STEWART AVE,BATTERY,VEHICLE NON-COMMERCIAL,FALSE,TRUE,711,7,20,68,,,2019,06/17/2019 4:16:37 PM,,,,
7524,11717818,06/10/2019 2:13:00 PM,002XX W 111TH PL,WEAPONS VIOLATION,SIDEWALK,TRUE,FALSE,522,5,34,49,,,2019,06/17/2019 4:16:37 PM,,,,
7526,11718032,06/10/2019 2:06:00 PM,039XX W CERMAK RD,DECEPTIVE PRACTICE,CONVENIENCE STORE,FALSE,FALSE,1014,10,24,29,,,2019,06/17/2019 4:16:37 PM,,,,
7527,11717794,06/10/2019 2:04:00 PM,001XX S LARAMIE AVE,THEFT,SMALL RETAIL STORE,FALSE,FALSE,1522,15,29,25,,,2019,06/17/2019 4:16:37 PM,,,,
7528,11717795,06/10/2019 2:01:00 PM,075XX S STONY ISLAND AVE,BATTERY,GROCERY FOOD STORE,FALSE,FALSE,411,4,8,43,,,2019,06/17/2019 4:16:37 PM,,,,
7530,11718280,06/10/2019 2:00:00 PM,053XX N NAGLE AVE,BURGLARY,RESIDENCE,FALSE,FALSE,1622,16,45,11,,,2019,06/17/2019 4:16:37 PM,,,,
7531,11719846,06/10/2019 2:00:00 PM,042XX S OAKENWALD AVE,DECEPTIVE PRACTICE,RESIDENCE,FALSE,FALSE,214,2,4,36,,,2019,06/17/2019 4:16:37 PM,,,,
7532,11717969,06/10/2019 2:00:00 PM,084XX S COLFAX AVE,BURGLARY,RESIDENCE-GARAGE,FALSE,FALSE,423,4,7,46,,,2019,06/17/2019 4:16:37 PM,,,,
7533,11735117,06/10/2019 2:00:00 PM,001XX W 87TH ST,DECEPTIVE PRACTICE,DEPARTMENT STORE,FALSE,FALSE,622,6,21,44,,,2019,06/26/2019 4:18:16 PM,,,,
7534,11733793,06/10/2019 2:00:00 PM,010XX W BERWYN AVE,THEFT,STREET,FALSE,FALSE,2023,20,48,77,,,2019,06/25/2019 4:19:57 PM,,,,
7535,11725531,06/10/2019 2:00:00 PM,089XX S BUFFALO AVE,THEFT,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,424,4,10,46,,,2019,06/18/2019 4:15:10 PM,,,,
7536,11717948,06/10/2019 2:00:00 PM,002XX S HAMLIN BLVD,BATTERY,APARTMENT,FALSE,FALSE,1122,11,28,26,,,2019,06/17/2019 4:16:37 PM,,,,
7538,11718627,06/10/2019 2:00:00 PM,072XX S UNIVERSITY AVE,THEFT,STREET,FALSE,FALSE,324,3,5,69,,,2019,06/17/2019 4:16:37 PM,,,,
7540,11717884,06/10/2019 2:00:00 PM,063XX S HERMITAGE AVE,BATTERY,STREET,FALSE,TRUE,725,7,15,67,,,2019,06/17/2019 4:16:37 PM,,,,
7543,11719074,06/10/2019 2:00:00 PM,004XX W LOCUST ST,THEFT,STREET,FALSE,FALSE,1823,18,27,8,,,2019,06/17/2019 4:16:37 PM,,,,
7545,11735066,06/10/2019 2:00:00 PM,001XX W 87TH ST,THEFT,DEPARTMENT STORE,FALSE,FALSE,622,6,21,44,,,2019,06/26/2019 4:18:16 PM,,,,
7546,11717811,06/10/2019 2:00:00 PM,094XX S CALUMET AVE,NARCOTICS,STREET,TRUE,FALSE,633,6,9,49,,,2019,06/17/2019 4:16:37 PM,,,,
7549,11718298,06/10/2019 2:00:00 PM,045XX S STATE ST,THEFT,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,215,2,3,38,,,2019,06/17/2019 4:16:37 PM,,,,
7550,11720258,06/10/2019 2:00:00 PM,017XX W PRYOR AVE,BATTERY,"SCHOOL, PUBLIC, BUILDING",TRUE,FALSE,2212,22,19,75,,,2019,06/26/2019 4:10:52 PM,,,,
7554,11719957,06/10/2019 1:50:00 PM,008XX S LEAVITT ST,DECEPTIVE PRACTICE,RESIDENCE,FALSE,FALSE,1225,12,28,28,,,2019,06/17/2019 4:16:37 PM,,,,
7556,11723947,06/10/2019 1:49:00 PM,001XX E 119TH PL,THEFT,APARTMENT,FALSE,FALSE,532,5,9,53,,,2019,06/17/2019 4:16:37 PM,,,,
7558,11718261,06/10/2019 1:45:00 PM,0000X N MASON AVE,THEFT,APARTMENT,FALSE,FALSE,1513,15,29,25,,,2019,06/17/2019 4:16:37 PM,,,,
7559,11718988,06/10/2019 1:45:00 PM,001XX N CLARK ST,DECEPTIVE PRACTICE,SMALL RETAIL STORE,FALSE,FALSE,111,1,42,32,,,2019,06/17/2019 4:16:37 PM,,,,
7560,11717845,06/10/2019 1:40:00 PM,036XX W AUGUSTA BLVD,BATTERY,VACANT LOT/LAND,FALSE,TRUE,1112,11,27,23,,,2019,06/17/2019 4:16:37 PM,,,,
7561,11718142,06/10/2019 1:30:00 PM,109XX S EWING AVE,BATTERY,RESIDENCE,FALSE,TRUE,432,4,10,52,,,2019,06/17/2019 4:16:37 PM,,,,
7562,11718269,06/10/2019 1:30:00 PM,026XX S HALSTED ST,BATTERY,SIDEWALK,FALSE,FALSE,913,9,11,60,,,2019,06/17/2019 4:16:37 PM,,,,
7563,11720576,06/10/2019 1:30:00 PM,0000X W ONTARIO ST,THEFT,OTHER,FALSE,FALSE,1832,18,42,8,,,2019,06/17/2019 4:16:37 PM,,,,
7564,11717830,06/10/2019 1:30:00 PM,001XX W DIVISION ST,BATTERY,SIDEWALK,FALSE,FALSE,1821,18,2,8,,,2019,06/17/2019 4:16:37 PM,,,,
7566,11718474,06/10/2019 1:25:00 PM,016XX N WELLS ST,BATTERY,OTHER,FALSE,FALSE,1814,18,2,7,,,2019,06/17/2019 4:16:37 PM,,,,
7567,11717773,06/10/2019 1:18:00 PM,012XX E 72ND PL,BATTERY,STREET,FALSE,TRUE,324,3,5,69,,,2019,06/17/2019 4:16:37 PM,,,,
7569,11717750,06/10/2019 1:15:00 PM,037XX W DOUGLAS BLVD,BATTERY,APARTMENT,TRUE,TRUE,1011,10,24,29,,,2019,06/17/2019 4:16:37 PM,,,,
7571,11717694,06/10/2019 1:10:00 PM,055XX S EMERALD AVE,BATTERY,RESIDENCE-GARAGE,FALSE,TRUE,711,7,20,68,,,2019,06/17/2019 4:16:37 PM,,,,
7572,11717738,06/10/2019 1:08:00 PM,071XX S WESTERN AVE,CRIMINAL TRESPASS,STREET,TRUE,FALSE,832,8,18,66,,,2019,06/17/2019 4:16:37 PM,,,,
7573,11728579,06/10/2019 1:04:00 PM,081XX S MORGAN ST,THEFT,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,613,6,21,71,,,2019,06/20/2019 4:23:46 PM,,,,
7574,11725906,06/10/2019 1:04:00 PM,081XX S MORGAN ST,THEFT,RESIDENCE,FALSE,FALSE,613,6,21,71,,,2019,06/18/2019 4:15:10 PM,,,,
7575,11727312,06/10/2019 1:00:00 PM,026XX N Hampden Ct,THEFT,APARTMENT,FALSE,FALSE,1935,19,43,7,,,2019,06/19/2019 4:23:23 PM,,,,
7577,11717774,06/10/2019 1:00:00 PM,070XX S PRINCETON AVE,BATTERY,APARTMENT,FALSE,TRUE,731,7,6,69,,,2019,06/17/2019 4:16:37 PM,,,,
7578,11718578,06/10/2019 1:00:00 PM,015XX W WABANSIA AVE,THEFT,STREET,FALSE,FALSE,1433,14,32,24,,,2019,06/17/2019 4:16:37 PM,,,,
7579,11717816,06/10/2019 1:00:00 PM,002XX W RANDOLPH ST,THEFT,STREET,FALSE,FALSE,122,1,42,32,,,2019,06/17/2019 4:16:37 PM,,,,
7580,11718187,06/10/2019 1:00:00 PM,073XX N RIDGE BLVD,BURGLARY,APARTMENT,FALSE,FALSE,2424,24,49,1,,,2019,06/17/2019 4:16:37 PM,,,,
7581,11717796,06/10/2019 1:00:00 PM,002XX E HURON ST,THEFT,SIDEWALK,FALSE,FALSE,1834,18,42,8,,,2019,06/17/2019 4:16:37 PM,,,,
7582,11718756,06/10/2019 1:00:00 PM,0000X W 69TH ST,THEFT,CTA TRAIN,FALSE,FALSE,731,7,6,69,,,2019,06/17/2019 4:16:37 PM,,,,
7584,11717998,06/10/2019 1:00:00 PM,072XX S SAWYER AVE,BURGLARY,RESIDENCE,FALSE,FALSE,831,8,17,66,,,2019,06/17/2019 4:16:37 PM,,,,
7585,11717651,06/10/2019 12:55:00 PM,060XX S MARSHFIELD AVE,BATTERY,APARTMENT,FALSE,TRUE,714,7,15,67,,,2019,06/17/2019 4:16:37 PM,,,,
7586,11717632,06/10/2019 12:53:00 PM,040XX W WILCOX ST,NARCOTICS,SIDEWALK,TRUE,FALSE,1115,11,28,26,,,2019,06/17/2019 4:16:37 PM,,,,
7588,11717892,06/10/2019 12:52:00 PM,031XX S DAMEN AVE,NARCOTICS,STREET,TRUE,FALSE,912,9,25,31,,,2019,06/17/2019 4:16:37 PM,,,,
7589,11717664,06/10/2019 12:44:00 PM,011XX S CLARK ST,THEFT,SMALL RETAIL STORE,TRUE,FALSE,123,1,4,32,,,2019,06/17/2019 4:16:37 PM,,,,
7590,11718951,06/10/2019 12:40:00 PM,002XX S CLINTON ST,THEFT,RESTAURANT,FALSE,FALSE,121,1,42,28,,,2019,06/17/2019 4:16:37 PM,,,,
7592,11717780,06/10/2019 12:36:00 PM,011XX N LAWLER AVE,NARCOTICS,RESIDENTIAL YARD (FRONT/BACK),TRUE,FALSE,1531,15,37,25,,,2019,06/17/2019 4:16:37 PM,,,,
7593,11717723,06/10/2019 12:35:00 PM,063XX S VERNON AVE,NARCOTICS,STREET,TRUE,FALSE,312,3,20,42,,,2019,06/17/2019 4:16:37 PM,,,,
7594,11717775,06/10/2019 12:35:00 PM,110XX S STATE ST,DECEPTIVE PRACTICE,FEDERAL BUILDING,FALSE,FALSE,513,5,9,49,,,2019,06/17/2019 4:16:37 PM,,,,
7595,11719307,06/10/2019 12:30:00 PM,054XX S INGLESIDE AVE,DECEPTIVE PRACTICE,OTHER,FALSE,FALSE,233,2,5,41,,,2019,06/17/2019 4:16:37 PM,,,,
7597,11720737,06/10/2019 12:30:00 PM,021XX E 87TH ST,BATTERY,SIDEWALK,FALSE,FALSE,412,4,8,45,,,2019,06/17/2019 4:16:37 PM,,,,
7599,11717731,06/10/2019 12:18:00 PM,010XX E 93RD ST,NARCOTICS,STREET,TRUE,FALSE,413,4,8,47,,,2019,06/17/2019 4:16:37 PM,,,,
7600,11717699,06/10/2019 12:16:00 PM,057XX S BISHOP ST,BATTERY,RESIDENCE,TRUE,TRUE,713,7,16,67,,,2019,06/17/2019 4:16:37 PM,,,,
7601,11717641,06/10/2019 12:15:00 PM,073XX N GREENVIEW AVE,THEFT,OTHER,FALSE,FALSE,2423,24,49,1,,,2019,06/17/2019 4:16:37 PM,,,,
7602,11720021,06/10/2019 12:15:00 PM,002XX N LAVERGNE AVE,WEAPONS VIOLATION,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,1532,15,28,25,,,2019,06/17/2019 4:16:37 PM,,,,
7604,11717685,06/10/2019 12:15:00 PM,002XX E ONTARIO ST,THEFT,RESTAURANT,FALSE,FALSE,1834,18,42,8,,,2019,06/17/2019 4:16:37 PM,,,,
7605,11717602,06/10/2019 12:10:00 PM,015XX S KEELER AVE,NARCOTICS,SIDEWALK,TRUE,FALSE,1012,10,24,29,,,2019,06/17/2019 4:16:37 PM,,,,
7606,11719055,06/10/2019 12:06:00 PM,018XX N KOSTNER AVE,BURGLARY,RESIDENCE-GARAGE,FALSE,FALSE,2534,25,35,20,,,2019,06/17/2019 4:16:37 PM,,,,
7608,11717719,06/10/2019 12:02:00 PM,049XX W IRVING PARK RD,BATTERY,SMALL RETAIL STORE,TRUE,FALSE,1624,16,45,15,,,2019,06/17/2019 4:16:37 PM,,,,
7609,11720665,06/10/2019 12:00:00 PM,021XX W DEVON AVE,DECEPTIVE PRACTICE,OTHER,FALSE,FALSE,2412,24,50,2,,,2019,06/17/2019 4:16:37 PM,,,,
7610,11719306,06/10/2019 12:00:00 PM,060XX N RIDGE AVE,THEFT,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,2433,24,40,77,,,2019,06/17/2019 4:16:37 PM,,,,
7612,11726557,06/10/2019 12:00:00 PM,0000X W CHICAGO AVE,THEFT,OTHER,FALSE,FALSE,1832,18,2,8,,,2019,06/18/2019 4:15:10 PM,,,,
7613,11718927,06/10/2019 12:00:00 PM,014XX W 73RD PL,THEFT,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,734,7,17,67,,,2019,06/17/2019 4:16:37 PM,,,,
7616,11731667,06/10/2019 12:00:00 PM,049XX W HUBBARD ST,THEFT,STREET,FALSE,FALSE,1532,15,37,25,,,2019,06/23/2019 4:06:04 PM,,,,
7617,11717976,06/10/2019 12:00:00 PM,082XX W SEMINOLE ST,BURGLARY,RESIDENCE,FALSE,FALSE,1614,16,41,10,,,2019,06/17/2019 4:16:37 PM,,,,
